scenario_id,workload,pid,current_tick,arrival_time,burst_time,remaining_burst,waiting_time,io_bound,priority,deadline,slack_time,urgency_score,wait_ratio,burst_ratio,deadline_pressure,queue_depth,queue_avg_burst,label
cpu_heavy_d000018,cpu_heavy,P1,4,4,2,2,0,1,3,7,3,1.5,0.0,0.0714,0.25,2,28.0,1
cpu_heavy_d000018,cpu_heavy,P2,4,4,54,54,0,0,1,136,132,2.4444,0.0,1.9286,0.0075,2,28.0,0
cpu_heavy_d000019,cpu_heavy,P2,6,4,54,54,2,0,1,136,130,2.4074,0.0357,1.0,0.0076,1,54.0,1
cpu_heavy_d000020,cpu_heavy,P3,60,9,7,7,51,0,1,27,0,0.0,0.8793,0.56,1.0,2,12.5,1
cpu_heavy_d000020,cpu_heavy,P4,60,11,18,18,49,0,4,51,0,0.0,0.7313,1.44,1.0,2,12.5,0
cpu_heavy_d000021,cpu_heavy,P4,67,11,18,18,56,0,4,51,0,0.0,0.7568,1.0,1.0,1,18.0,1
cpu_heavy_d000022,cpu_heavy,P1,1,1,14,14,0,0,5,22,21,1.5,0.0,1.0,0.0455,1,14.0,1
cpu_heavy_d000023,cpu_heavy,P2,15,3,19,19,12,0,3,45,30,1.5789,0.3871,1.1343,0.0323,4,16.75,0
cpu_heavy_d000023,cpu_heavy,P3,15,8,12,12,7,0,1,30,15,1.25,0.3684,0.7164,0.0625,4,16.75,0
cpu_heavy_d000023,cpu_heavy,P4,15,8,5,5,7,0,4,16,1,0.2,0.5833,0.2985,0.5,4,16.75,1
cpu_heavy_d000023,cpu_heavy,P5,15,14,31,31,1,0,5,97,82,2.6452,0.0312,1.8507,0.012,4,16.75,0
cpu_heavy_d000024,cpu_heavy,P2,20,3,19,19,17,0,3,45,25,1.3158,0.4722,0.9194,0.0385,3,20.67,0
cpu_heavy_d000024,cpu_heavy,P3,20,8,12,12,12,0,1,30,10,0.8333,0.5,0.5806,0.0909,3,20.67,1
cpu_heavy_d000024,cpu_heavy,P5,20,14,31,31,6,0,5,97,77,2.4839,0.1622,1.5,0.0128,3,20.67,0
cpu_heavy_d000025,cpu_heavy,P2,32,3,19,19,29,0,3,45,13,0.6842,0.6042,0.76,0.0714,2,25.0,1
cpu_heavy_d000025,cpu_heavy,P5,32,14,31,31,18,0,5,97,65,2.0968,0.3673,1.24,0.0152,2,25.0,0
cpu_heavy_d000026,cpu_heavy,P5,51,14,31,31,37,0,5,97,46,1.4839,0.5441,1.0,0.0213,1,31.0,1
cpu_heavy_d000027,cpu_heavy,P1,0,0,56,56,0,0,1,129,129,2.3036,0.0,1.0,0.0077,1,56.0,1
cpu_heavy_d000028,cpu_heavy,P2,56,4,15,15,52,0,5,31,0,0.0,0.7761,0.8621,1.0,5,17.4,0
cpu_heavy_d000028,cpu_heavy,P3,56,5,36,36,51,0,3,105,49,1.3611,0.5862,2.069,0.02,5,17.4,0
cpu_heavy_d000028,cpu_heavy,P4,56,5,1,1,51,0,5,6,0,0.0,0.9808,0.0575,1.0,5,17.4,1
cpu_heavy_d000028,cpu_heavy,P5,56,6,27,27,50,0,3,59,3,0.1111,0.6494,1.5517,0.25,5,17.4,0
cpu_heavy_d000028,cpu_heavy,P6,56,7,8,8,49,0,5,30,0,0.0,0.8596,0.4598,1.0,5,17.4,0
cpu_heavy_d000029,cpu_heavy,P2,57,4,15,15,53,0,5,31,0,0.0,0.7794,0.6977,1.0,4,21.5,0
cpu_heavy_d000029,cpu_heavy,P3,57,5,36,36,52,0,3,105,48,1.3333,0.5909,1.6744,0.0204,4,21.5,0
cpu_heavy_d000029,cpu_heavy,P5,57,6,27,27,51,0,3,59,2,0.0741,0.6538,1.2558,0.3333,4,21.5,0
cpu_heavy_d000029,cpu_heavy,P6,57,7,8,8,50,0,5,30,0,0.0,0.8621,0.3721,1.0,4,21.5,1
cpu_heavy_d000030,cpu_heavy,P2,65,4,15,15,61,0,5,31,0,0.0,0.8026,0.5769,1.0,3,26.0,1
cpu_heavy_d000030,cpu_heavy,P3,65,5,36,36,60,0,3,105,40,1.1111,0.625,1.3846,0.0244,3,26.0,0
cpu_heavy_d000030,cpu_heavy,P5,65,6,27,27,59,0,3,59,0,0.0,0.686,1.0385,1.0,3,26.0,0
cpu_heavy_d000031,cpu_heavy,P3,80,5,36,36,75,0,3,105,25,0.6944,0.6757,1.1429,0.0385,2,31.5,0
cpu_heavy_d000031,cpu_heavy,P5,80,6,27,27,74,0,3,59,0,0.0,0.7327,0.8571,1.0,2,31.5,1
cpu_heavy_d000032,cpu_heavy,P3,107,5,36,36,102,0,3,105,0,0.0,0.7391,1.0,1.0,1,36.0,1
cpu_heavy_d000033,cpu_heavy,P1,0,0,71,71,0,0,1,138,138,1.9437,0.0,2.0094,0.0072,3,35.33,0
cpu_heavy_d000033,cpu_heavy,P2,0,0,22,22,0,0,2,34,34,1.5455,0.0,0.6226,0.0286,3,35.33,0
cpu_heavy_d000033,cpu_heavy,P3,0,0,13,13,0,0,3,24,24,1.8462,0.0,0.3679,0.04,3,35.33,1
cpu_heavy_d000034,cpu_heavy,P1,13,0,71,71,13,0,1,138,125,1.7606,0.1548,1.5269,0.0079,2,46.5,0
cpu_heavy_d000034,cpu_heavy,P2,13,0,22,22,13,0,2,34,21,0.9545,0.3714,0.4731,0.0455,2,46.5,1
cpu_heavy_d000035,cpu_heavy,P1,35,0,71,71,35,0,1,138,103,1.4507,0.3302,1.0,0.0096,1,71.0,1
mixed_d000036,mixed,P1,0,0,6,6,0,1,1,24,24,4.0,0.0,1.0,0.04,1,6.0,1
mixed_d000037,mixed,P2,6,2,4,4,4,1,4,18,12,3.0,0.5,0.2553,0.0769,3,15.67,1
mixed_d000037,mixed,P3,6,2,29,29,4,0,3,67,61,2.1034,0.1212,1.8511,0.0161,3,15.67,0
mixed_d000037,mixed,P4,6,5,14,14,1,1,4,40,34,2.4286,0.0667,0.8936,0.0286,3,15.67,0
mixed_d000038,mixed,P3,10,2,29,29,8,0,3,67,57,1.9655,0.2162,1.3488,0.0172,2,21.5,0
mixed_d000038,mixed,P4,10,5,14,14,5,1,4,40,30,2.1429,0.2632,0.6512,0.0323,2,21.5,1
mixed_d000039,mixed,P3,24,2,29,29,22,0,3,67,43,1.4828,0.4314,1.0,0.0227,1,29.0,1
io_heavy_d000040,io_heavy,P1,0,0,8,8,0,1,2,44,44,5.5,0.0,1.3333,0.0222,2,6.0,0
io_heavy_d000040,io_heavy,P2,0,0,4,4,0,1,3,15,15,3.75,0.0,0.6667,0.0625,2,6.0,1
io_heavy_d000041,io_heavy,P1,4,0,8,8,4,1,2,44,40,5.0,0.3333,1.6,0.0244,4,5.0,0
io_heavy_d000041,io_heavy,P3,4,1,3,3,3,1,3,15,11,3.6667,0.5,0.6,0.0833,4,5.0,1
io_heavy_d000041,io_heavy,P4,4,1,4,4,3,0,2,30,26,6.5,0.4286,0.8,0.037,4,5.0,0
io_heavy_d000041,io_heavy,P5,4,1,5,5,3,1,3,29,25,5.0,0.375,1.0,0.0385,4,5.0,0
io_heavy_d000042,io_heavy,P1,7,0,8,8,7,1,2,44,37,4.625,0.4667,1.4118,0.0263,3,5.67,0
io_heavy_d000042,io_heavy,P4,7,1,4,4,6,0,2,30,23,5.75,0.6,0.7059,0.0417,3,5.67,1
io_heavy_d000042,io_heavy,P5,7,1,5,5,6,1,3,29,22,4.4,0.5455,0.8824,0.0435,3,5.67,0
io_heavy_d000043,io_heavy,P1,11,0,8,8,11,1,2,44,33,4.125,0.5789,1.2308,0.0294,2,6.5,0
io_heavy_d000043,io_heavy,P5,11,1,5,5,10,1,3,29,18,3.6,0.6667,0.7692,0.0526,2,6.5,1
io_heavy_d000044,io_heavy,P1,16,0,8,8,16,1,2,44,28,3.5,0.6667,1.0,0.0345,1,8.0,1
mixed_d000045,mixed,P1,0,0,7,7,0,1,1,32,32,4.5714,0.0,1.0,0.0303,1,7.0,1
mixed_d000046,mixed,P2,7,4,1,1,3,1,5,8,1,1.0,0.75,1.0,0.5,1,1.0,1
mixed_d000047,mixed,P3,8,8,24,24,0,0,2,112,104,4.3333,0.0,1.0,0.0095,1,24.0,1
mixed_d000048,mixed,P4,32,9,5,5,23,1,5,20,0,0.0,0.8214,0.5,1.0,5,10.0,1
mixed_d000048,mixed,P5,32,10,9,9,22,1,2,32,0,0.0,0.7097,0.9,1.0,5,10.0,0
mixed_d000048,mixed,P6,32,11,11,11,21,1,2,56,24,2.1818,0.6562,1.1,0.04,5,10.0,0
mixed_d000048,mixed,P7,32,11,13,13,21,1,4,66,34,2.6154,0.6176,1.3,0.0286,5,10.0,0
mixed_d000048,mixed,P8,32,12,12,12,20,0,4,39,7,0.5833,0.625,1.2,0.125,5,10.0,0
mixed_d000049,mixed,P5,37,10,9,9,27,1,2,32,0,0.0,0.75,0.8,1.0,4,11.25,1
mixed_d000049,mixed,P6,37,11,11,11,26,1,2,56,19,1.7273,0.7027,0.9778,0.05,4,11.25,0
mixed_d000049,mixed,P7,37,11,13,13,26,1,4,66,29,2.2308,0.6667,1.1556,0.0333,4,11.25,0
mixed_d000049,mixed,P8,37,12,12,12,25,0,4,39,2,0.1667,0.6757,1.0667,0.3333,4,11.25,0
mixed_d000050,mixed,P6,46,11,11,11,35,1,2,56,10,0.9091,0.7609,0.9167,0.0909,3,12.0,1
mixed_d000050,mixed,P7,46,11,13,13,35,1,4,66,20,1.5385,0.7292,1.0833,0.0476,3,12.0,0
mixed_d000050,mixed,P8,46,12,12,12,34,0,4,39,0,0.0,0.7391,1.0,1.0,3,12.0,0
mixed_d000051,mixed,P7,57,11,13,13,46,1,4,66,9,0.6923,0.7797,1.04,0.1,2,12.5,0
mixed_d000051,mixed,P8,57,12,12,12,45,0,4,39,0,0.0,0.7895,0.96,1.0,2,12.5,1
mixed_d000052,mixed,P7,69,11,13,13,58,1,4,66,0,0.0,0.8169,1.0,1.0,1,13.0,1
cpu_heavy_d000053,cpu_heavy,P1,1,1,46,46,0,0,5,86,85,1.8478,0.0,1.0,0.0116,1,46.0,1
cpu_heavy_d000054,cpu_heavy,P2,47,10,44,44,37,0,2,128,81,1.8409,0.4568,1.75,0.0122,7,25.14,0
cpu_heavy_d000054,cpu_heavy,P3,47,11,16,16,36,0,3,46,0,0.0,0.6923,0.6364,1.0,7,25.14,0
cpu_heavy_d000054,cpu_heavy,P4,47,11,4,4,36,1,1,20,0,0.0,0.9,0.1591,1.0,7,25.14,1
cpu_heavy_d000054,cpu_heavy,P5,47,11,48,48,36,0,2,151,104,2.1667,0.4286,1.9091,0.0095,7,25.14,0
cpu_heavy_d000054,cpu_heavy,P6,47,17,17,17,30,0,1,67,20,1.1765,0.6383,0.6761,0.0476,7,25.14,0
cpu_heavy_d000054,cpu_heavy,P7,47,21,39,39,26,0,3,102,55,1.4103,0.4,1.5511,0.0179,7,25.14,0
cpu_heavy_d000054,cpu_heavy,P8,47,25,8,8,22,0,4,48,1,0.125,0.7333,0.3182,0.5,7,25.14,0
cpu_heavy_d000055,cpu_heavy,P2,51,10,44,44,41,0,2,128,77,1.75,0.4824,1.5349,0.0128,6,28.67,0
cpu_heavy_d000055,cpu_heavy,P3,51,11,16,16,40,0,3,46,0,0.0,0.7143,0.5581,1.0,6,28.67,0
cpu_heavy_d000055,cpu_heavy,P5,51,11,48,48,40,0,2,151,100,2.0833,0.4545,1.6744,0.0099,6,28.67,0
cpu_heavy_d000055,cpu_heavy,P6,51,17,17,17,34,0,1,67,16,0.9412,0.6667,0.593,0.0588,6,28.67,0
cpu_heavy_d000055,cpu_heavy,P7,51,21,39,39,30,0,3,102,51,1.3077,0.4348,1.3605,0.0192,6,28.67,0
cpu_heavy_d000055,cpu_heavy,P8,51,25,8,8,26,0,4,48,0,0.0,0.7647,0.2791,1.0,6,28.67,1
cpu_heavy_d000056,cpu_heavy,P2,59,10,44,44,49,0,2,128,69,1.5682,0.5269,1.3415,0.0143,5,32.8,0
cpu_heavy_d000056,cpu_heavy,P3,59,11,16,16,48,0,3,46,0,0.0,0.75,0.4878,1.0,5,32.8,1
cpu_heavy_d000056,cpu_heavy,P5,59,11,48,48,48,0,2,151,92,1.9167,0.5,1.4634,0.0108,5,32.8,0
cpu_heavy_d000056,cpu_heavy,P6,59,17,17,17,42,0,1,67,8,0.4706,0.7119,0.5183,0.1111,5,32.8,0
cpu_heavy_d000056,cpu_heavy,P7,59,21,39,39,38,0,3,102,43,1.1026,0.4935,1.189,0.0227,5,32.8,0
cpu_heavy_d000057,cpu_heavy,P2,75,10,44,44,65,0,2,128,53,1.2045,0.5963,1.1892,0.0185,4,37.0,0
cpu_heavy_d000057,cpu_heavy,P5,75,11,48,48,64,0,2,151,76,1.5833,0.5714,1.2973,0.013,4,37.0,0
cpu_heavy_d000057,cpu_heavy,P6,75,17,17,17,58,0,1,67,0,0.0,0.7733,0.4595,1.0,4,37.0,1
cpu_heavy_d000057,cpu_heavy,P7,75,21,39,39,54,0,3,102,27,0.6923,0.5806,1.0541,0.0357,4,37.0,0
cpu_heavy_d000058,cpu_heavy,P2,92,10,44,44,82,0,2,128,36,0.8182,0.6508,1.0076,0.027,3,43.67,0
cpu_heavy_d000058,cpu_heavy,P5,92,11,48,48,81,0,2,151,59,1.2292,0.6279,1.0992,0.0167,3,43.67,0
cpu_heavy_d000058,cpu_heavy,P7,92,21,39,39,71,0,3,102,10,0.2564,0.6455,0.8931,0.0909,3,43.67,1
cpu_heavy_d000059,cpu_heavy,P2,131,10,44,44,121,0,2,128,0,0.0,0.7333,0.9565,1.0,2,46.0,1
cpu_heavy_d000059,cpu_heavy,P5,131,11,48,48,120,0,2,151,20,0.4167,0.7143,1.0435,0.0476,2,46.0,0
cpu_heavy_d000060,cpu_heavy,P5,175,11,48,48,164,0,2,151,0,0.0,0.7736,1.0,1.0,1,48.0,1
cpu_heavy_d000061,cpu_heavy,P1,2,2,12,12,0,0,5,21,19,1.5833,0.0,1.0,0.05,1,12.0,1
cpu_heavy_d000062,cpu_heavy,P2,14,4,52,52,10,0,3,136,122,2.3462,0.1613,1.5758,0.0081,3,33.0,0
cpu_heavy_d000062,cpu_heavy,P3,14,7,21,21,7,0,2,47,33,1.5714,0.25,0.6364,0.0294,3,33.0,1
cpu_heavy_d000062,cpu_heavy,P4,14,11,26,26,3,0,4,69,55,2.1154,0.1034,0.7879,0.0179,3,33.0,0
cpu_heavy_d000063,cpu_heavy,P2,35,4,52,52,31,0,3,136,101,1.9423,0.3735,1.3333,0.0098,2,39.0,0
cpu_heavy_d000063,cpu_heavy,P4,35,11,26,26,24,0,4,69,34,1.3077,0.48,0.6667,0.0286,2,39.0,1
cpu_heavy_d000064,cpu_heavy,P2,61,4,52,52,57,0,3,136,75,1.4423,0.5229,1.0,0.0132,1,52.0,1
io_heavy_d000065,io_heavy,P1,0,0,5,5,0,0,4,31,31,6.2,0.0,1.0,0.0312,1,5.0,1
io_heavy_d000066,io_heavy,P2,5,1,2,2,4,1,2,10,5,2.5,0.6667,0.4375,0.1667,7,4.57,0
io_heavy_d000066,io_heavy,P3,5,1,2,2,4,1,3,7,2,1.0,0.6667,0.4375,0.3333,7,4.57,0
io_heavy_d000066,io_heavy,P4,5,1,1,1,4,1,2,4,0,0.0,0.8,0.2187,1.0,7,4.57,1
io_heavy_d000066,io_heavy,P5,5,1,6,6,4,0,2,29,24,4.0,0.4,1.3125,0.04,7,4.57,0
io_heavy_d000066,io_heavy,P6,5,1,7,7,4,1,5,43,38,5.4286,0.3636,1.5312,0.0256,7,4.57,0
io_heavy_d000066,io_heavy,P7,5,1,2,2,4,1,5,12,7,3.5,0.6667,0.4375,0.125,7,4.57,0
io_heavy_d000066,io_heavy,P8,5,2,12,12,3,0,3,68,63,5.25,0.2,2.625,0.0156,7,4.57,0
io_heavy_d000067,io_heavy,P2,6,1,2,2,5,1,2,10,4,2.0,0.7143,0.3871,0.2,6,5.17,1
io_heavy_d000067,io_heavy,P3,6,1,2,2,5,1,3,7,1,0.5,0.7143,0.3871,0.5,6,5.17,0
io_heavy_d000067,io_heavy,P5,6,1,6,6,5,0,2,29,23,3.8333,0.4545,1.1613,0.0417,6,5.17,0
io_heavy_d000067,io_heavy,P6,6,1,7,7,5,1,5,43,37,5.2857,0.4167,1.3548,0.0263,6,5.17,0
io_heavy_d000067,io_heavy,P7,6,1,2,2,5,1,5,12,6,3.0,0.7143,0.3871,0.1429,6,5.17,0
io_heavy_d000067,io_heavy,P8,6,2,12,12,4,0,3,68,62,5.1667,0.25,2.3226,0.0159,6,5.17,0
io_heavy_d000068,io_heavy,P3,8,1,2,2,7,1,3,7,0,0.0,0.7778,0.3448,1.0,5,5.8,1
io_heavy_d000068,io_heavy,P5,8,1,6,6,7,0,2,29,21,3.5,0.5385,1.0345,0.0455,5,5.8,0
io_heavy_d000068,io_heavy,P6,8,1,7,7,7,1,5,43,35,5.0,0.5,1.2069,0.0278,5,5.8,0
io_heavy_d000068,io_heavy,P7,8,1,2,2,7,1,5,12,4,2.0,0.7778,0.3448,0.2,5,5.8,0
io_heavy_d000068,io_heavy,P8,8,2,12,12,6,0,3,68,60,5.0,0.3333,2.069,0.0164,5,5.8,0
io_heavy_d000069,io_heavy,P5,10,1,6,6,9,0,2,29,19,3.1667,0.6,0.8889,0.05,4,6.75,0
io_heavy_d000069,io_heavy,P6,10,1,7,7,9,1,5,43,33,4.7143,0.5625,1.037,0.0294,4,6.75,0
io_heavy_d000069,io_heavy,P7,10,1,2,2,9,1,5,12,2,1.0,0.8182,0.2963,0.3333,4,6.75,1
io_heavy_d000069,io_heavy,P8,10,2,12,12,8,0,3,68,58,4.8333,0.4,1.7778,0.0169,4,6.75,0
io_heavy_d000070,io_heavy,P5,12,1,6,6,11,0,2,29,17,2.8333,0.6471,0.72,0.0556,3,8.33,1
io_heavy_d000070,io_heavy,P6,12,1,7,7,11,1,5,43,31,4.4286,0.6111,0.84,0.0312,3,8.33,0
io_heavy_d000070,io_heavy,P8,12,2,12,12,10,0,3,68,56,4.6667,0.4545,1.44,0.0175,3,8.33,0
io_heavy_d000071,io_heavy,P6,18,1,7,7,17,1,5,43,25,3.5714,0.7083,0.7368,0.0385,2,9.5,1
io_heavy_d000071,io_heavy,P8,18,2,12,12,16,0,3,68,50,4.1667,0.5714,1.2632,0.0196,2,9.5,0
io_heavy_d000072,io_heavy,P8,25,2,12,12,23,0,3,68,43,3.5833,0.6571,1.0,0.0227,1,12.0,1
mixed_d000073,mixed,P1,0,0,18,18,0,0,5,50,50,2.7778,0.0,1.0,0.0196,1,18.0,1
mixed_d000074,mixed,P2,18,1,2,2,17,1,4,5,0,0.0,0.8947,0.1389,1.0,5,14.4,1
mixed_d000074,mixed,P3,18,1,37,37,17,0,3,154,136,3.6757,0.3148,2.5694,0.0073,5,14.4,0
mixed_d000074,mixed,P4,18,2,12,12,16,0,2,41,23,1.9167,0.5714,0.8333,0.0417,5,14.4,0
mixed_d000074,mixed,P5,18,2,18,18,16,1,2,78,60,3.3333,0.4706,1.25,0.0164,5,14.4,0
mixed_d000074,mixed,P6,18,2,3,3,16,1,5,12,0,0.0,0.8421,0.2083,1.0,5,14.4,0
mixed_d000075,mixed,P3,20,1,37,37,19,0,3,154,134,3.6216,0.3393,2.1143,0.0074,4,17.5,0
mixed_d000075,mixed,P4,20,2,12,12,18,0,2,41,21,1.75,0.6,0.6857,0.0455,4,17.5,0
mixed_d000075,mixed,P5,20,2,18,18,18,1,2,78,58,3.2222,0.5,1.0286,0.0169,4,17.5,0
mixed_d000075,mixed,P6,20,2,3,3,18,1,5,12,0,0.0,0.8571,0.1714,1.0,4,17.5,1
mixed_d000076,mixed,P3,23,1,37,37,22,0,3,154,131,3.5405,0.3729,1.6567,0.0076,3,22.33,0
mixed_d000076,mixed,P4,23,2,12,12,21,0,2,41,18,1.5,0.6364,0.5373,0.0526,3,22.33,1
mixed_d000076,mixed,P5,23,2,18,18,21,1,2,78,55,3.0556,0.5385,0.806,0.0179,3,22.33,0
mixed_d000077,mixed,P3,35,1,37,37,34,0,3,154,119,3.2162,0.4789,1.3455,0.0083,2,27.5,0
mixed_d000077,mixed,P5,35,2,18,18,33,1,2,78,43,2.3889,0.6471,0.6545,0.0227,2,27.5,1
mixed_d000078,mixed,P3,53,1,37,37,52,0,3,154,101,2.7297,0.5843,1.0,0.0098,1,37.0,1
io_heavy_d000079,io_heavy,P1,0,0,9,9,0,1,1,46,46,5.1111,0.0,1.125,0.0213,2,8.0,0
io_heavy_d000079,io_heavy,P2,0,0,7,7,0,1,2,34,34,4.8571,0.0,0.875,0.0286,2,8.0,1
io_heavy_d000080,io_heavy,P1,7,0,9,9,7,1,1,46,39,4.3333,0.4375,1.2,0.025,2,7.5,0
io_heavy_d000080,io_heavy,P3,7,1,6,6,6,1,2,44,37,6.1667,0.5,0.8,0.0263,2,7.5,1
io_heavy_d000081,io_heavy,P1,13,0,9,9,13,1,1,46,33,3.6667,0.5909,1.0,0.0294,1,9.0,1
mixed_d000082,mixed,P1,1,1,7,7,0,0,5,34,33,4.7143,0.0,1.0,0.0294,1,7.0,1
mixed_d000083,mixed,P2,8,2,4,4,6,1,1,17,9,2.25,0.6,0.7143,0.1,5,5.6,0
mixed_d000083,mixed,P3,8,3,8,8,5,1,4,42,34,4.25,0.3846,1.4286,0.0286,5,5.6,0
mixed_d000083,mixed,P4,8,7,4,4,1,1,4,15,7,1.75,0.2,0.7143,0.125,5,5.6,0
mixed_d000083,mixed,P5,8,7,2,2,1,1,5,16,8,4.0,0.3333,0.3571,0.1111,5,5.6,1
mixed_d000083,mixed,P6,8,7,10,10,1,0,4,35,27,2.7,0.0909,1.7857,0.0357,5,5.6,0
mixed_d000084,mixed,P2,10,2,4,4,8,1,1,17,7,1.75,0.6667,0.6154,0.125,4,6.5,1
mixed_d000084,mixed,P3,10,3,8,8,7,1,4,42,32,4.0,0.4667,1.2308,0.0303,4,6.5,0
mixed_d000084,mixed,P4,10,7,4,4,3,1,4,15,5,1.25,0.4286,0.6154,0.1667,4,6.5,0
mixed_d000084,mixed,P6,10,7,10,10,3,0,4,35,25,2.5,0.2308,1.5385,0.0385,4,6.5,0
mixed_d000085,mixed,P3,14,3,8,8,11,1,4,42,28,3.5,0.5789,1.0909,0.0345,3,7.33,0
mixed_d000085,mixed,P4,14,7,4,4,7,1,4,15,1,0.25,0.6364,0.5455,0.5,3,7.33,1
mixed_d000085,mixed,P6,14,7,10,10,7,0,4,35,21,2.1,0.4118,1.3636,0.0455,3,7.33,0
mixed_d000086,mixed,P3,18,3,8,8,15,1,4,42,24,3.0,0.6522,0.8889,0.04,2,9.0,1
mixed_d000086,mixed,P6,18,7,10,10,11,0,4,35,17,1.7,0.5238,1.1111,0.0556,2,9.0,0
mixed_d000087,mixed,P6,26,7,10,10,19,0,4,35,9,0.9,0.6552,1.0,0.1,1,10.0,1
io_heavy_d000088,io_heavy,P1,0,0,9,9,0,0,1,60,60,6.6667,0.0,1.0,0.0164,1,9.0,1
